業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0002,千房FC,500003,FC第3エリア,558   ,ADVANCE 広尾店,2026/04/30,木,平日,,曇,16.0,14.0,計,55040,227542,0.2419,0.8729,236425,0.2328,4,2,13760.0,0.19,22,0.1818,16,0.2500,0,11334,0.2059,0.1103,,41330,0.7509,0.1602,0.9568,0.2705,1590,2077.0,,0.0000,
0002,千房FC,500004,FC第4エリア,560   ,イオンモール白山店,2026/04/27,月,平日,,晴,18.0,14.0,計,67256,95000,0.7080,0.7080,117676,0.5715,47,23,1431.0,0.94,63,0.7460,90,0.5222,0,36970,0.5497,0.5497,,0,0.0000,0.0000,0.5497,0.5497,0,,,0.0000,
0002,千房FC,500004,FC第4エリア,560   ,イオンモール白山店,2026/04/28,火,平日,,晴,23.0,13.0,計,67407,95000,0.7095,0.7088,204577,0.3295,47,27,1434.2,0.94,63,0.7460,153,0.3072,0,,0.0000,0.2745,,0,0.0000,0.0000,0.0000,0.2745,0,,,0.0000,
0002,千房FC,500004,FC第4エリア,560   ,イオンモール白山店,2026/04/29,水,日祝,,曇,17.0,13.0,計,189594,200000,0.9480,0.8314,82456,2.2993,135,67,1404.4,2.70,140,0.9643,54,2.5000,0,,0.0000,0.1140,,0,0.0000,0.0000,0.0000,0.1140,0,,,0.0000,
0002,千房FC,500004,FC第4エリア,560   ,イオンモール白山店,2026/04/30,木,平日,,曇,18.0,11.0,計,144458,95000,1.5206,0.9664,114463,1.2621,93,42,1553.3,1.86,63,1.4762,82,1.1341,0,,0.0000,0.0789,,0,0.0000,0.0000,0.0000,0.0789,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,561   ,京都祇園店,2026/04/27,月,平日,,晴,21.0,14.0,計,108533,200000,0.5427,0.5427,207851,0.5222,45,16,2411.8,1.10,68,0.6618,89,0.5056,0,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,561   ,京都祇園店,2026/04/28,火,平日,,晴,26.0,13.0,計,186137,200000,0.9307,0.7367,212004,0.8780,73,22,2549.8,1.78,68,1.0735,75,0.9733,0,30816,0.1656,0.1046,,0,0.0000,0.0000,0.1656,0.1046,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,561   ,京都祇園店,2026/04/29,水,日祝,,曇,18.0,14.0,計,114015,200000,0.5701,0.6811,240296,0.4745,62,17,1839.0,1.51,80,0.7750,91,0.6813,0,4080,0.0358,0.0854,,0,0.0000,0.0000,0.0358,0.0854,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,561   ,京都祇園店,2026/04/30,木,平日,,雨,15.0,13.0,計,74249,200000,0.3712,0.6037,159368,0.4659,36,13,2062.5,0.88,68,0.5294,72,0.5000,0,17961,0.2419,0.1095,,0,0.0000,0.0000,0.2419,0.1095,0,,,0.0000,
0002,千房FC,500004,FC第4エリア,562   ,せんちゅうパル店,2026/04/27,月,平日,,曇,22.0,14.0,計,146883,190000,0.7731,0.7731,209503,0.7011,89,51,1650.4,3.30,133,0.6692,137,0.6496,0,,0.0000,0.0000,0,94082,0.6405,0.6405,0.6405,0.6405,3772,2336.4,,0.0000,
0002,千房FC,500004,FC第4エリア,562   ,せんちゅうパル店,2026/04/28,火,平日,,晴,25.0,14.0,計,170782,190000,0.8989,0.8360,295215,0.5785,95,47,1797.7,3.52,133,0.7143,187,0.5080,0,,0.0000,0.0000,0,87207,0.5106,0.5707,0.5106,0.5707,3909,2621.4,,0.0000,
0002,千房FC,500004,FC第4エリア,562   ,せんちゅうパル店,2026/04/29,水,日祝,休,雨,19.0,15.0,計,,0,,0.8360,,,,,,0,0,,,,0,-1866,,-0.0059,0,0,,0.5707,,0.5648,0,,,,
0002,千房FC,500004,FC第4エリア,562   ,せんちゅうパル店,2026/04/30,木,平日,,雨,16.0,12.0,計,213286,190000,1.1226,0.9315,228488,0.9335,106,51,2012.1,3.93,133,0.7970,136,0.7794,0,1297336,6.0826,2.4399,0,84168,0.3946,0.5000,6.4772,2.9399,3442,3717.9,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/04/27,月,平日,,曇,22.0,14.0,計,55830,170000,0.3284,0.3284,,,13,8,4294.6,,20,0.6500,,,10880,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/04/28,火,平日,,曇,25.0,14.0,計,205995,180000,1.1444,0.7481,,,28,13,7357.0,,21,1.3333,,,10880,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/04/29,水,日祝,,曇,20.0,16.0,計,167130,200000,0.8357,0.7799,63700,2.6237,23,5,7266.5,,23,1.0000,7,3.2857,0,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/04/30,木,平日,,雨,16.0,13.0,計,17341,170000,0.1020,0.6199,91100,0.1904,3,2,5780.3,,20,0.1500,9,0.3333,10880,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/04/27,月,平日,,曇,22.0,14.0,計,375096,380000,0.9871,0.9871,438245,0.8559,102,20,3677.4,1.42,104,0.9808,103,0.9903,0,121394,0.3236,0.3236,0,84197,0.2245,0.2245,0.5481,0.5481,3711,6064.6,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/04/28,火,平日,,曇,25.0,14.0,計,468265,380000,1.2323,1.1097,142506,3.2859,113,20,4143.9,1.57,104,1.0865,49,2.3061,0,60360,0.1289,0.2155,0,101594,0.2170,0.2203,0.3459,0.4358,4378,6417.5,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/04/29,水,日祝,,曇,20.0,16.0,計,146988,340000,0.4323,0.9003,361791,0.4063,39,15,3768.9,0.54,93,0.4194,95,0.4105,0,47223,0.3213,0.2312,0,69020,0.4696,0.2573,0.7908,0.4885,3048,2893.5,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/04/30,木,平日,,雨,17.0,13.0,計,382334,380000,1.0061,0.9275,320743,1.1920,100,14,3823.3,1.39,104,0.9615,119,0.8403,0,54026,0.1413,0.2062,0,96660,0.2528,0.2560,0.3941,0.4622,3929,5838.6,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/04/27,月,平日,,曇,22.0,14.0,計,125977,110000,1.1452,1.1452,150703,0.8359,34,5,3705.2,0.85,30,1.1333,37,0.9189,0,55796,0.4429,0.4429,0,32427,0.2574,0.2574,0.7003,0.7003,1418,5330.5,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/04/28,火,平日,,曇,25.0,14.0,計,154794,110000,1.4072,1.2762,62966,2.4584,37,7,4183.6,0.93,30,1.2333,22,1.6818,0,11945,0.0772,0.2413,0,17289,0.1117,0.1771,0.1889,0.4183,721,12881.6,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/04/29,水,日祝,,曇,20.0,16.0,計,66174,110000,0.6016,1.0513,103656,0.6384,19,4,3482.8,0.48,30,0.6333,28,0.6786,0,15549,0.2350,0.2401,0,9692,0.1465,0.1712,0.3814,0.4113,384,10339.7,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/04/30,木,平日,,雨,17.0,13.0,計,111458,110000,1.0133,1.0418,84766,1.3149,29,7,3843.4,0.73,30,0.9667,22,1.3182,0,14375,0.1290,0.2131,0,33581,0.3013,0.2029,0.4303,0.4159,1374,4867.2,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/04/27,月,平日,,曇,22.0,14.0,計,2278,2000,1.1390,1.1390,0,,2,2,1139.0,,1,2.0000,0,,0,11755,5.1602,5.1602,0,0,0.0000,0.0000,5.1602,5.1602,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/04/28,火,平日,,曇,25.0,14.0,計,2278,2000,1.1390,1.1390,2093,1.0884,2,2,1139.0,,1,2.0000,1,2.0000,0,21856,9.5944,7.3773,0,0,0.0000,0.0000,9.5944,7.3773,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/04/29,水,日祝,,曇,20.0,16.0,計,4556,2000,2.2780,1.5187,862,5.2854,1,1,4556.0,,1,1.0000,1,1.0000,0,10395,2.2816,4.8295,0,0,0.0000,0.0000,2.2816,4.8295,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/04/30,木,平日,,雨,17.0,13.0,計,0,2000,0.0000,1.1390,1204,0.0000,0,0,,,1,0.0000,1,0.0000,0,,,4.8295,0,0,,0.0000,,4.8295,0,,,,
